,Actual,Predicted
0,481,481
1,753,753
2,363,363
3,309,309
4,734,734
5,816,816
6,74,74
7,40,40
8,49,49
9,456,456
10,392,392
11,28,28
12,367,367
13,85,85
14,4,1
15,62,62
16,388,388
17,617,617
18,31,31
19,75,75
20,36,36
21,25,25
22,20,20
23,6,415
24,414,414
25,20,20
26,415,415
27,585,585
28,585,585
29,63,63
30,54,54
31,54,54
32,415,415
33,57,57
34,44,44
35,75,75
36,24,24
37,297,297
38,44,44
39,73,73
40,363,363
41,54,54
42,443,443
43,426,426
44,196,196
45,485,485
46,400,400
47,392,392
48,223,223
49,34,34
50,74,74
51,28,28
52,388,388
53,43,43
54,3,3
55,80,80
56,28,28
57,35,35
58,74,74
59,799,799
60,72,72
61,533,533
62,58,58
63,36,34
64,1,1
65,46,46
66,413,413
67,33,33
68,42,42
69,25,25
70,255,255
71,54,54
72,397,397
73,360,360
74,41,41
75,392,392
76,367,367
77,799,799
78,33,33
79,280,280
80,42,42
81,60,60
82,397,397
83,342,342
84,352,352
85,297,297
86,716,716
87,356,393
88,43,43
89,528,528
90,280,280
91,799,799
92,55,55
93,944,944
94,31,31
95,71,71
96,420,420
97,577,388
98,446,446
99,17,20
100,356,393
101,54,56
102,73,73
103,54,54
104,390,390
105,816,816
106,466,466
107,28,28
108,410,410
109,400,400
110,490,490
111,36,36
112,37,43
113,236,236
114,316,316
115,8,8
116,64,44
117,1,1
118,403,403
119,54,54
120,309,309
121,73,73
122,734,734
123,491,738
124,280,280
125,502,502
126,68,68
127,47,47
128,220,220
129,35,35
130,577,388
131,33,33
132,388,388
133,37,37
134,299,299
135,47,47
136,280,280
137,163,163
138,491,738
139,342,342
140,39,39
141,61,61
142,44,44
143,115,105
144,118,118
145,113,113
146,286,286
147,734,734
148,697,734
149,434,434
150,255,255
151,447,447
152,437,437
153,196,196
154,951,951
155,37,37
156,55,55
157,196,196
158,799,799
159,64,64
160,36,34
161,62,62
162,69,69
163,47,47
164,37,43
165,280,280
166,356,356
167,367,367
168,28,28
169,39,39
170,232,232
171,697,697
172,28,28
173,17,17
174,37,37
175,734,734
176,250,250
177,51,51
178,272,272
179,28,28
180,297,297
181,255,255
