,Unnamed: 0,LocationID,Borough,Zone,service_zone,Address,Latitude,Longitude,New ID
0,0,1,EWR,Newark Airport,EWR,"Newark Airport, EWR",40.735659999999996,-74.17237,1
1,1,2,Queens,Jamaica Bay,Boro Zone,"Jamaica Bay, Queens",40.603993599999995,-73.8354123,2
2,2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,"Allerton/Pelham Gardens, Bronx",40.861725,-73.84214870000001,3
3,3,4,Manhattan,Alphabet City,Yellow Zone,"Alphabet City, Manhattan",40.7251022,-73.97958320000001,4
4,4,5,Staten Island,Arden Heights,Boro Zone,"Arden Heights, Staten Island",40.5576295,-74.1886085,5
5,5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"Arrochar/Fort Wadsworth, Staten Island",40.6027644,-74.06585229999999,6
6,6,7,Queens,Astoria,Boro Zone,"Astoria, Queens",40.772014500000004,-73.9302672,7
7,7,8,Queens,Astoria Park,Boro Zone,"Astoria Park, Queens",40.7788277,-73.92262640000001,8
8,8,9,Queens,Auburndale,Boro Zone,"Auburndale, Queens",40.755628,-73.7947469,8
9,9,10,Queens,Baisley Park,Boro Zone,"Baisley Park, Queens",40.65749,-73.83875,10
10,10,11,Brooklyn,Bath Beach,Boro Zone,"Bath Beach, Brooklyn",40.5963959,-73.9947198,11
11,11,12,Manhattan,Battery Park,Yellow Zone,"Battery Park, Manhattan",40.7029171,-74.0158007,12
12,12,13,Manhattan,Battery Park City,Yellow Zone,"Battery Park City, Manhattan",40.7110166,-74.0169368,13
13,13,14,Brooklyn,Bay Ridge,Boro Zone,"Bay Ridge, Brooklyn",40.6339929,-74.014584,13
14,14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,"Bay Terrace/Fort Totten, Queens",40.65749,-73.83875,15
15,15,16,Queens,Bayside,Boro Zone,"Bayside, Queens",40.768435100000005,-73.77707729999999,11
16,16,17,Brooklyn,Bedford,Boro Zone,"Bedford, Brooklyn",40.7202445,-73.955425,17
17,17,18,Bronx,Bedford Park,Boro Zone,"Bedford Park, Bronx",40.8700999,-73.8856911,18
18,18,19,Queens,Bellerose,Boro Zone,"Bellerose, Queens",40.7442451,-73.7164152,19
19,19,20,Bronx,Belmont,Boro Zone,"Belmont, Bronx",40.855277799999996,-73.88638879999999,20
20,20,21,Brooklyn,Bensonhurst East,Boro Zone,"Bensonhurst East, Brooklyn",41.79677,-71.89729,21
21,21,22,Brooklyn,Bensonhurst West,Boro Zone,"Bensonhurst West, Brooklyn",41.692809999999994,-89.14704,22
22,22,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,"Bloomfield/Emerson Hill, Staten Island",40.60872,-74.09598000000001,23
23,23,24,Manhattan,Bloomingdale,Yellow Zone,"Bloomingdale, Manhattan",40.7958865,-73.967511,24
24,24,25,Brooklyn,Boerum Hill,Boro Zone,"Boerum Hill, Brooklyn",40.6856261,-73.98417059999998,25
25,25,26,Brooklyn,Borough Park,Boro Zone,"Borough Park, Brooklyn",40.633993,-73.99680579999999,26
