,datetime_local,short_title,popularity,score,Venue_id,latitude,longitude,Venue_name,average_price,highest_price,listing_count,lowest_price,lowest_price_good_deals,type,type2,TaxiCount,LocationID,Month,DayofMonth,Hour,Temp_Avg,Conditions,Conditions2,timestamp,weekday
0,2017-07-05 14:00:00,Dear Evan Hansen - New York,0.0,0.604179,3298,40.6971,-73.9796,Music Box Theatre,759.0,1126,12,476,0,broadway_tickets_national,1,33,65,7,5,14,82.4,Mostly Cloudy,4,7/5/2017 14:00,2
1,2017-07-05 14:00:00,"Hello, Dolly! - New York",0.692593,0.588942,3187,40.6971,-73.9796,Shubert Theatre,1007.0,1884,35,410,410,broadway_tickets_national,1,33,65,7,5,14,82.4,Mostly Cloudy,4,7/5/2017 14:00,2
2,2017-07-05 20:00:00,"Hello, Dolly! - New York",0.660295,0.647096,3187,40.6971,-73.9796,Shubert Theatre,972.5,1884,50,125,125,broadway_tickets_national,1,27,65,7,5,20,73.4,Clear,0,7/5/2017 20:00,2
3,2017-07-05 20:00:00,Dear Evan Hansen - New York,0.0,0.601474,3298,40.6971,-73.9796,Music Box Theatre,668.0,825,42,396,0,broadway_tickets_national,1,27,65,7,5,20,73.4,Clear,0,7/5/2017 20:00,2
4,2017-07-05 23:00:00,Beatbreaker - New York,0.0,0.452016,41977,40.7028,-73.9903,Marquee New York,0.0,0,0,0,0,theater,3,18,66,7,5,23,73.4,Partly Cloudy,5,7/5/2017 23:00,2
5,2017-07-06 19:00:00,"Hello, Dolly! - New York",0.694235,0.5971989999999999,3187,40.6971,-73.9796,Shubert Theatre,1065.0,1884,45,415,415,broadway_tickets_national,1,31,65,7,6,19,73.4,Partly Cloudy,5,7/6/2017 19:00,3
6,2017-07-06 19:00:00,Dear Evan Hansen - New York,0.0,0.592056,3298,40.6971,-73.9796,Music Box Theatre,531.5,997,30,468,468,broadway_tickets_national,1,31,65,7,6,19,73.4,Partly Cloudy,5,7/6/2017 19:00,3
7,2017-07-07 20:00:00,Rakim,0.675541,0.570017,1817,40.8097,-73.9502,Apollo Theater,171.0,452,126,75,75,concert,2,9,152,7,7,20,78.8,Clear,0,7/7/2017 20:00,4
8,2017-07-07 20:00:00,Dear Evan Hansen - New York,0.0,0.627638,3298,40.6971,-73.9796,Music Box Theatre,790.0,1856,109,451,0,broadway_tickets_national,1,48,65,7,7,20,78.8,Clear,0,7/7/2017 20:00,4
9,2017-07-07 20:00:00,"Hello, Dolly! - New York",0.6983010000000001,0.613244,3187,40.6971,-73.9796,Shubert Theatre,1065.0,2050,115,185,185,broadway_tickets_national,1,48,65,7,7,20,78.8,Clear,0,7/7/2017 20:00,4
10,2017-07-07 23:00:00,GTA - New York,0.572442,0.514389,41977,40.7028,-73.9903,Marquee New York,0.0,0,0,0,0,theater,3,47,66,7,7,23,71.6,Overcast,4,7/7/2017 23:00,4
11,2017-07-08 14:00:00,Dear Evan Hansen - New York,0.0,0.6247119999999999,3298,40.6971,-73.9796,Music Box Theatre,649.0,1081,121,469,469,broadway_tickets_national,1,28,65,7,8,14,84.9,Mostly Cloudy,4,7/8/2017 14:00,5
12,2017-07-08 14:00:00,"Hello, Dolly! - New York",0.7028449999999999,0.614337,3187,40.6971,-73.9796,Shubert Theatre,1026.0,2050,147,191,191,broadway_tickets_national,1,28,65,7,8,14,84.9,Mostly Cloudy,4,7/8/2017 14:00,5
13,2017-07-08 20:00:00,Dear Evan Hansen - New York,0.0,0.645113,3298,40.6971,-73.9796,Music Box Theatre,607.0,1145,187,380,0,broadway_tickets_national,1,53,65,7,8,20,77.0,Mostly Cloudy,4,7/8/2017 20:00,5
14,2017-07-08 20:00:00,"Hello, Dolly! - New York",0.7019310000000001,0.621976,3187,40.6971,-73.9796,Shubert Theatre,886.0,2050,150,192,192,broadway_tickets_national,1,53,65,7,8,20,77.0,Mostly Cloudy,4,7/8/2017 20:00,5
15,2017-07-08 23:00:00,Audien - New York,0.602876,0.4882,41977,40.7028,-73.9903,Marquee New York,0.0,0,0,0,0,theater,3,54,66,7,8,23,75.0,Mostly Cloudy,4,7/8/2017 23:00,5
16,2017-07-09 14:00:00,"Hello, Dolly! - New York",0.66142,0.611857,3187,40.6971,-73.9796,Shubert Theatre,1076.0,2050,113,415,415,broadway_tickets_national,1,51,65,7,9,14,82.9,Scattered Clouds,0,7/9/2017 14:00,6
17,2017-07-09 15:00:00,Dear Evan Hansen - New York,0.0,0.626059,3298,40.6971,-73.9796,Music Box Theatre,696.0,1240,83,411,0,broadway_tickets_national,1,68,65,7,9,15,82.9,Scattered Clouds,0,7/9/2017 15:00,6
18,2017-07-11 19:00:00,Dear Evan Hansen - New York,0.0,0.62629,3298,40.6971,-73.9796,Music Box Theatre,807.5,1347,115,451,451,broadway_tickets_national,1,48,65,7,11,19,82.4,Mostly Cloudy,4,7/11/2017 19:00,1
19,2017-07-11 19:00:00,"Hello, Dolly! - New York",0.619402,0.685479,3187,40.6971,-73.9796,Shubert Theatre,1033.0,2050,204,191,191,broadway_tickets_national,1,48,65,7,11,19,82.4,Mostly Cloudy,4,7/11/2017 19:00,1
20,2017-07-12 14:00:00,Dear Evan Hansen - New York,0.0,0.604406,3298,40.6971,-73.9796,Music Box Theatre,528.0,891,76,348,0,broadway_tickets_national,1,38,65,7,12,14,87.8,Scattered Clouds,0,7/12/2017 14:00,2
21,2017-07-12 14:00:00,"Hello, Dolly! - New York",0.6923050000000001,0.644526,3187,40.6971,-73.9796,Shubert Theatre,1048.0,2241,166,260,260,broadway_tickets_national,1,38,65,7,12,14,87.8,Scattered Clouds,0,7/12/2017 14:00,2
22,2017-07-12 20:00:00,"Hello, Dolly! - New York",0.700074,0.654654,3187,40.6971,-73.9796,Shubert Theatre,1079.0,2241,208,218,218,broadway_tickets_national,1,37,65,7,12,20,84.2,Overcast,4,7/12/2017 20:00,2
