,Day_Date,Day_Name,Hour,Temp_Avg,Conditions,Conditions2,day,month,hour,timestamp
0,1-Aug,Tuesday,12:00 AM,75.9,Clear,0,8,1,0,8/1/2017 0:00
1,1-Aug,Tuesday,1:00 AM,75.9,Clear,0,8,1,1,8/1/2017 1:00
2,1-Aug,Tuesday,2:00 AM,75,Clear,0,8,1,2,8/1/2017 2:00
3,1-Aug,Tuesday,3:00 AM,73.9,Clear,0,8,1,3,8/1/2017 3:00
4,1-Aug,Tuesday,4:00 AM,73.9,Clear,0,8,1,4,8/1/2017 4:00
5,1-Aug,Tuesday,5:00 AM,71.1,Clear,0,8,1,5,8/1/2017 5:00
6,1-Aug,Tuesday,6:00 AM,72,Clear,0,8,1,6,8/1/2017 6:00
7,1-Aug,Tuesday,7:00 AM,75,Clear,0,8,1,7,8/1/2017 7:00
8,1-Aug,Tuesday,8:00 AM,77,Clear,0,8,1,8,8/1/2017 8:00
9,1-Aug,Tuesday,9:00 AM,81,Clear,0,8,1,9,8/1/2017 9:00
10,1-Aug,Tuesday,10:00 AM,82,Clear,0,8,1,10,8/1/2017 10:00
11,1-Aug,Tuesday,11:00 AM,86,Clear,0,8,1,11,8/1/2017 11:00
12,1-Aug,Tuesday,12:00 PM,87.1,Clear,0,8,1,12,8/1/2017 12:00
13,1-Aug,Tuesday,1:00 PM,89.1,Clear,0,8,1,13,8/1/2017 13:00
14,1-Aug,Tuesday,2:00 PM,91,Clear,0,8,1,14,8/1/2017 14:00
15,1-Aug,Tuesday,3:00 PM,89.1,Clear,0,8,1,15,8/1/2017 15:00
16,1-Aug,Tuesday,4:00 PM,86,Clear,0,8,1,16,8/1/2017 16:00
17,1-Aug,Tuesday,5:00 PM,86,Clear,0,8,1,17,8/1/2017 17:00
18,1-Aug,Tuesday,6:00 PM,84,Clear,0,8,1,18,8/1/2017 18:00
19,1-Aug,Tuesday,7:00 PM,82,Clear,0,8,1,19,8/1/2017 19:00
20,1-Aug,Tuesday,8:00 PM,81,Clear,0,8,1,20,8/1/2017 20:00
21,1-Aug,Tuesday,9:00 PM,81,Clear,0,8,1,21,8/1/2017 21:00
22,1-Aug,Tuesday,10:00 PM,80.1,Clear,0,8,1,22,8/1/2017 22:00
23,1-Aug,Tuesday,11:00 PM,79,Clear,0,8,1,23,8/1/2017 23:00
24,2-Aug,Wednesday,12:00 AM,78.1,Clear,0,8,2,0,8/2/2017 0:00
25,2-Aug,Wednesday,1:00 AM,78.1,Clear,0,8,2,1,8/2/2017 1:00
26,2-Aug,Wednesday,2:00 AM,78.1,Clear,0,8,2,2,8/2/2017 2:00
27,2-Aug,Wednesday,3:00 AM,77,Clear,0,8,2,3,8/2/2017 3:00
28,2-Aug,Wednesday,4:00 AM,77,Clear,0,8,2,4,8/2/2017 4:00
29,2-Aug,Wednesday,5:00 AM,75.9,Clear,0,8,2,5,8/2/2017 5:00
30,2-Aug,Wednesday,6:00 AM,75.9,Clear,0,8,2,6,8/2/2017 6:00
31,2-Aug,Wednesday,7:00 AM,77,Clear,0,8,2,7,8/2/2017 7:00
32,2-Aug,Wednesday,8:00 AM,79,Clear,0,8,2,8,8/2/2017 8:00
33,2-Aug,Wednesday,9:00 AM,81,Haze,1,8,2,9,8/2/2017 9:00
34,2-Aug,Wednesday,10:00 AM,84,Clear,0,8,2,10,8/2/2017 10:00
35,2-Aug,Wednesday,11:00 AM,86,Clear,0,8,2,11,8/2/2017 11:00
36,2-Aug,Wednesday,12:00 PM,79,Light Rain,3,8,2,12,8/2/2017 12:00
37,2-Aug,Wednesday,1:00 PM,78.1,Light Rain,3,8,2,13,8/2/2017 13:00
38,2-Aug,Wednesday,2:00 PM,78.1,Scattered Clouds,0,8,2,14,8/2/2017 14:00
39,2-Aug,Wednesday,3:00 PM,78.1,Scattered Clouds,0,8,2,15,8/2/2017 15:00
40,2-Aug,Wednesday,4:00 PM,73,Light Rain,3,8,2,16,8/2/2017 16:00
41,2-Aug,Wednesday,5:00 PM,69.8,Rain,3,8,2,17,8/2/2017 17:00
42,2-Aug,Wednesday,6:00 PM,70,Partly Cloudy,5,8,2,18,8/2/2017 18:00
43,2-Aug,Wednesday,7:00 PM,69.1,Clear,0,8,2,19,8/2/2017 19:00
44,2-Aug,Wednesday,8:00 PM,69.1,Clear,0,8,2,20,8/2/2017 20:00
45,2-Aug,Wednesday,9:00 PM,69.1,Clear,0,8,2,21,8/2/2017 21:00
46,2-Aug,Wednesday,10:00 PM,70,Clear,0,8,2,22,8/2/2017 22:00
47,2-Aug,Wednesday,11:00 PM,70,Clear,0,8,2,23,8/2/2017 23:00
48,3-Aug,Thursday,12:00 AM,70,Clear,0,8,3,0,8/3/2017 0:00
49,3-Aug,Thursday,1:00 AM,70,Clear,0,8,3,1,8/3/2017 1:00
50,3-Aug,Thursday,2:00 AM,70,Clear,0,8,3,2,8/3/2017 2:00
51,3-Aug,Thursday,3:00 AM,69.1,Clear,0,8,3,3,8/3/2017 3:00
52,3-Aug,Thursday,4:00 AM,69.1,Clear,0,8,3,4,8/3/2017 4:00
53,3-Aug,Thursday,5:00 AM,69.1,Clear,0,8,3,5,8/3/2017 5:00
54,3-Aug,Thursday,6:00 AM,70,Mostly Cloudy,4,8,3,6,8/3/2017 6:00
55,3-Aug,Thursday,7:00 AM,71.1,Overcast,4,8,3,7,8/3/2017 7:00
